id,url,region,region_url,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state,AUTO_UNIQUE_ID_2020-12-07_17tonksmigmailcom_OC_Housing,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4,ComputedAPN
7050037918,https://orangecounty.craigslist.org/apa/d/buena-park-stop-looking-and-start/7050037918.html,orange county,https://orangecounty.craigslist.org,2310,apartment,1005,2,2,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/01313_6dlY1jRXwKb_600x450.jpg,"Fairway Village Apartment Homes 5001 Beach Blvd., Buena Park, CA, 90621  Visit This Website to See More: http://apartments.wng.com/5792em  Call Now:  show contact info    Welcome To Fairway Village Apartment Homes!  This is a 2 Bedroom, 2 Bath, approximat",33.8887,-117.994,ca,1,1,12515.6805,,AggieReverseGeocoder,,4.01,15514 Calverton Dr,Buena Park,CA,90638,5424,8064009022
7050016690,https://orangecounty.craigslist.org/apa/d/irvine-french-patio-doors-complimentary/7050016690.html,orange county,https://orangecounty.craigslist.org,3000,apartment,1281,2,2,1,1,0,1,0,0,w/d in unit,detached garage,https://images.craigslist.org/00B0B_acA12i0bq4v_600x450.jpg,"RIZE Irvine Apartments 1100 Synergy, Irvine, CA, 92614Call Now -  show contact info Follow This Link for More Information:http://fairfield-apts.com/9smbd2 WE ARE NOW OPEN! This is a 2 Bedroom, 2 Bath, approximately 1281 Sq. Ft.  YouÃ¢Â€Â™ve just uncovered",33.6829,-117.83,ca,2,1,4453.2219,,AggieReverseGeocoder,,4.01,190 ALICANTE AISLE,irvine,CA,92614,,1676210
7049909532,https://orangecounty.craigslist.org/apa/d/costa-mesa-relax-at-the-cape/7049909532.html,orange county,https://orangecounty.craigslist.org,1805,apartment,717,1,1,1,0,1,0,0,0,laundry on site,carport,https://images.craigslist.org/00W0W_awbvTHmUNOy_600x450.jpg,"RENT: $1805 - $1880 / MONTH SIZE: 800 sq ft | BEDROOMS: 1 | BATHROOMS: 1 LEASE TERMS: Variable, 12-Month PET POLICY:Cat(s);Dogs Allowed. $500 Deposit. $35 Monthly Pet Rent. Cats, Birds and Reptiles Allowed: Max 2 pets total per apartment. $500 Deposit. $3",33.6902,-117.899,ca,3,1,2999.99,,AggieReverseGeocoder,,4.01,3351 FUCHSIA ST,COSTA MESA,CA,92626,,16497992
7049730985,https://orangecounty.craigslist.org/apa/d/huntington-beach-renovated-town-home/7049730985.html,orange county,https://orangecounty.craigslist.org,2750,apartment,1288,3,2,1,1,1,0,0,0,,,https://images.craigslist.org/01616_3fGrRqP7YyP_600x450.jpg,"Move In special on Selected Apts!! Want more info? See the link below:http://cl.greystar.com/61vkm6 Call Now:  show contact info  x 83OR Text 83 to  show contact info  to text with us.Welcome Home This is a 3 Bedroom, 2 Bath, approximately 1288 Sq. Ft.  W",33.7155,-118.016,ca,4,1,3437.4624,,AggieReverseGeocoder,,4.01,6401 Warner Ave,huntington beach,CA,92647,,13393985
7049666522,https://orangecounty.craigslist.org/apa/d/lake-forest-lighted-tennis-court/7049666522.html,orange county,https://orangecounty.craigslist.org,1695,apartment,525,1,1,1,1,1,0,0,0,laundry on site,carport,https://images.craigslist.org/00A0A_7haMhXIjno8_600x450.jpg,"Welcome Home to Westridge Apartment Homes! Experience a carefree and relaxing lifestyle at Westridge Apartment Homes in Lake Forest, California. Perfectly situated just off the 241 Toll Road and a short distance from the 5 Freeway, our convenient location",33.6558,-117.666,ca,5,1,3062.5094,,AggieReverseGeocoder,,4.01,21122 SUNNY RIDGE,LAKE FOREST,CA,92630,,1779556
7049644908,https://orangecounty.craigslist.org/apa/d/rancho-santa-margarita-everything-at/7049644908.html,orange county,https://orangecounty.craigslist.org,1620,apartment,417,0,1,1,1,1,1,0,0,laundry on site,,https://images.craigslist.org/00O0O_5u4ffLM0lhv_600x450.jpg,Second floor apartment with a breath taking view of our sparkling fountain. Live in peace and enjoy the serene sounds of water !! We check off all your boxes here at FountainGlen! You can afford to dwell well at FountainGlen Rancho Santa Margarita 55+ Sen,33.6394,-117.598,ca,6,1,1125.0125,,AggieReverseGeocoder,,4.01,20 EL CORAZON RANCHO,SANTA MARGARITA,CA,92688,,16370058
7049419673,https://orangecounty.craigslist.org/apa/d/santa-ana-ceiling-fans-bbq-grills/7049419673.html,orange county,https://orangecounty.craigslist.org,1956,apartment,693,1,1,1,1,0,1,0,0,w/d in unit,carport,https://images.craigslist.org/00202_5JmDu6K6iMp_600x450.jpg,"Adagio at South Coast 3124 South Main Street, Santa Ana, CA, 92707Call Now -  show contact info Follow This Link for More Information:http://rent.decron.com/9wci3s Welcome home to Adagio at South Coast This is a 1 Bedroom, 1 Bath, approximately 693 Sq. Ft",33.7086,-117.87,ca,7,1,1484.3427,,AggieReverseGeocoder,,4.01,250 CARRIAGE DR,orange,CA,92707,,16504258
7049418186,https://orangecounty.craigslist.org/apa/d/garden-grove-mirrored-closet-doors/7049418186.html,orange county,https://orangecounty.craigslist.org,1680,apartment,755,1,1,1,1,1,0,0,0,laundry on site,carport,https://images.craigslist.org/00303_2JN2EtULYcN_600x450.jpg,"Meadowood Place Apartment Homes 11250 Dale Street , Garden Grove, CA, 92841   Call Now -  show contact info   See our property details here: http://apartments.wng.com/sk0995  Welcome Home to Meadowood Place Apartment Homes!   This is a 1 Bedroom, 1 Bath,",33.7817,-117.977,ca,8,1,2984.3555,,AggieReverseGeocoder,,4.01,8865 LAMPSON AVE,GARDEN GROVE,CA,92841,,13278904
7049418109,https://orangecounty.craigslist.org/apa/d/huntington-beach-laminate-floors/7049418109.html,orange county,https://orangecounty.craigslist.org,2000,apartment,850,2,1,1,1,1,0,0,0,,,https://images.craigslist.org/01717_gXfbIT0rn06_600x450.jpg,"Move In special on Selected Apts!! Welcome Home Welcome home to our community! Here you'll enjoy a peaceful getaway that's a rejuvenating sanctuary from today's hectic lifestyle. With refreshing ocean breezes and colorful pacific sunsets, luxurious living",33.721,-118.003,ca,9,1,1828.1668,,AggieReverseGeocoder,,4.01,16581 Delton Cir,huntington beach,CA,92647,,13391445
7048675839,https://orangecounty.craigslist.org/apa/d/dana-point-2-bed-2-bath-biking-jogging/7048675839.html,orange county,https://orangecounty.craigslist.org,2420,apartment,1182,2,2,0,0,1,0,0,0,,,https://images.craigslist.org/00M0M_lsLdNkTHcTQ_600x450.jpg,Welcome to Marea Find newly renovated one and two bedroom apartments near the ocean.  -Dishwasher -Disposal -Fireplace -Mirrored Wardrobes -Stainless Steel Appliances -Washer & Dryer Connections -Microwave -Large Walk-in Closets -Custom Accent Wall  Call:,33.4908,-117.72,ca,10,1,1515.7161,,AggieReverseGeocoder,,4.01,32442 ASCENSION RD,DANA POINT,CA,92629,,6996838
7049968435,https://orangecounty.craigslist.org/apa/d/santa-ana-ceiling-fan-spacious-closets/7049968435.html,orange county,https://orangecounty.craigslist.org,1810,apartment,710,1,1,0,0,1,0,0,0,,,https://images.craigslist.org/01717_21ozdrP1Euu_600x450.jpg,"Come Home to Newport Village. Newport Village Apartments is apartment living at its best. Let our responsive management team do all they can to make you feel at home. Beautifully landscaped grounds create a wonderful living environment, and Newport Villag",33.678,-117.876,ca,11,1,2031.263,,AggieReverseGeocoder,,4.01,275 E BAKER ST,COSTA MESA,CA,92626,,16492712
